column_index,flattened_name,first_level,second_level,observed_block_code,mapped_variable_code,is_global_key,is_year_like_subcolumn,period_year,period_label,codebook_match
791,rpcyd__number_of_persons_8,RPCYD,Number of persons.8,RPCYD,RPCYD,False,False,,,True
792,rpcyd__unnamed_792_level_1,RPCYD,Unnamed: 792_level_1,RPCYD,RPCYD,False,False,,,True
793,rpcyd__unnamed_793_level_1,RPCYD,Unnamed: 793_level_1,RPCYD,RPCYD,False,False,,,True
794,rpcyd__unnamed_794_level_1,RPCYD,Unnamed: 794_level_1,RPCYD,RPCYD,False,False,,,True
795,rpcyd__unnamed_795_level_1,RPCYD,Unnamed: 795_level_1,RPCYD,RPCYD,False,False,,,True
796,rpcyd__unnamed_796_level_1,RPCYD,Unnamed: 796_level_1,RPCYD,RPCYD,False,False,,,True
797,rpcyd__mean_income_sek_thousands_6,RPCYD,"Mean income, SEK thousands.6",RPCYD,RPCYD,False,False,,,True
798,rpcyd__median_value_sek_thousands_3__dup2,RPCYD,"Median value, SEK thousands.3",RPCYD,RPCYD,False,False,,,True
799,rpcyd__total_sum_sek_million_3__dup2,RPCYD,"Total sum, SEK million.3",RPCYD,RPCYD,False,False,,,True
800,rpcyd__number_of_persons_9,RPCYD,Number of persons.9,RPCYD,RPCYD,False,False,,,True
801,rpcyd__unnamed_801_level_1,RPCYD,Unnamed: 801_level_1,RPCYD,RPCYD,False,False,,,True
802,rpcyd__unnamed_802_level_1,RPCYD,Unnamed: 802_level_1,RPCYD,RPCYD,False,False,,,True
803,rpcyd__unnamed_803_level_1,RPCYD,Unnamed: 803_level_1,RPCYD,RPCYD,False,False,,,True
804,rpcyd__unnamed_804_level_1,RPCYD,Unnamed: 804_level_1,RPCYD,RPCYD,False,False,,,True
805,rpcyd__unnamed_805_level_1,RPCYD,Unnamed: 805_level_1,RPCYD,RPCYD,False,False,,,True
806,rpcyd__mean_income_sek_thousands_7,RPCYD,"Mean income, SEK thousands.7",RPCYD,RPCYD,False,False,,,True
807,rpcyd__median_value_sek_thousands_4__dup2,RPCYD,"Median value, SEK thousands.4",RPCYD,RPCYD,False,False,,,True
808,rpcyd__total_sum_sek_million_4__dup2,RPCYD,"Total sum, SEK million.4",RPCYD,RPCYD,False,False,,,True
809,rpcyd__number_of_persons_10,RPCYD,Number of persons.10,RPCYD,RPCYD,False,False,,,True
810,rydgdp__unnamed_810_level_1,RYDGDP,Unnamed: 810_level_1,RYDGDP,RYDGDP,False,False,,,True
811,rydgdp__unnamed_811_level_1,RYDGDP,Unnamed: 811_level_1,RYDGDP,RYDGDP,False,False,,,True
812,rydgdp__2019,RYDGDP,2019,RYDGDP,RYDGDP,False,True,2019.0,2019,True
813,rydgdp__2020,RYDGDP,2020,RYDGDP,RYDGDP,False,True,2020.0,2020,True
814,rydgdp__2021,RYDGDP,2021,RYDGDP,RYDGDP,False,True,2021.0,2021,True
815,rydgdp__2022,RYDGDP,2022,RYDGDP,RYDGDP,False,True,2022.0,2022,True
816,rydgdp__2023,RYDGDP,2023,RYDGDP,RYDGDP,False,True,2023.0,2023,True
817,rydgdp__2019_1,RYDGDP,2019.1,RYDGDP,RYDGDP,False,True,2019.0,2019,True
818,rydgdp__2020_1,RYDGDP,2020.1,RYDGDP,RYDGDP,False,True,2020.0,2020,True
819,rydgdp__2021_1,RYDGDP,2021.1,RYDGDP,RYDGDP,False,True,2021.0,2021,True
820,rydgdp__2022_1,RYDGDP,2022.1,RYDGDP,RYDGDP,False,True,2022.0,2022,True
821,rydgdp__2023_1,RYDGDP,2023.1,RYDGDP,RYDGDP,False,True,2023.0,2023,True
822,rydgdp__unnamed_822_level_1,RYDGDP,Unnamed: 822_level_1,RYDGDP,RYDGDP,False,False,,,True
